Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Afghanistan,205612,7833,182621.0,15158.0,5045,192,1154211.0,28321.0,40754388
Albania,333322,3593,328153.0,1576.0,116287,1254,1941032.0,677173.0,2866374
Algeria,271061,6881,182550.0,81630.0,5977,152,230861.0,5091.0,45350148
Andorra,46824,156,46457.0,211.0,604469,2014,249838.0,3225256.0,77463
Angola,104491,1923,102367.0,201.0,2983,55,1499795.0,42818.0,35027343
Anguilla,3904,12,3879.0,13.0,256336,788,51382.0,3373736.0,15230
Antigua and Barbuda,9106,146,8954.0,6.0,91509,1467,18901.0,189943.0,99509
Argentina,9723924,130017,9588858.0,5049.0,211343,2826,35716069.0,776264.0,46010234
Armenia,445631,8709,434743.0,2179.0,149945,2930,3233258.0,1087919.0,2971966
Aruba,43568,236,42438.0,894.0,404873,2193,177885.0,1653068.0,107609
Australia,10643918,16100,10546102.0,81716.0,408301,618,78835048.0,3024116.0,26068792
Austria,5544112,21187,5478623.0,44302.0,611480,2337,202576566.0,22342897.0,9066710
Azerbaijan,824232,9976,813942.0,314.0,80021,969,7369434.0,715465.0,10300205
Bahamas,37476,833,36354.0,289.0,93569,2080,257839.0,643767.0,400516
Bahrain,695766,1536,693064.0,1166.0,390007,861,10561336.0,5920088.0,1783983
Bangladesh,2036527,29431,1985578.0,21518.0,12130,175,15081406.0,89831.0,167885689
Barbados,103955,564,102435.0,956.0,360926,1958,777669.0,2700024.0,288023
Belarus,994037,7118,985592.0,1327.0,105381,755,13646641.0,1446722.0,9432800
Belgium,4633112,33042,4579197.0,20873.0,397069,2832,36088595.0,3092881.0,11668278
Belize,69012,688,68310.0,14.0,167428,1669,576016.0,1397453.0,412190
Benin,27922,163,27746.0,13.0,2184,13,604310.0,47268.0,12784726
Bermuda,18463,151,18289.0,23.0,298084,2438,1018578.0,16444857.0,61939
Bhutan,62488,21,61564.0,903.0,79305,27,2303734.0,2923739.0,787941
Bolivia,1110608,22245,1077341.0,11022.0,92607,1855,2705422.0,225590.0,11992656
Bosnia and Herzegovina,400466,16200,378288.0,5978.0,123246,4986,1878960.0,578263.0,3249317
Botswana,326344,2790,322955.0,599.0,133684,1143,2026898.0,830300.0,2441162
Brazil,35206368,689545,34201418.0,315405.0,163482,3202,63776166.0,296146.0,215353593
British Virgin Islands,7305,64,,,238757,2092,107339.0,3508269.0,30596
Brunei,241044,225,222140.0,18679.0,541148,505,717784.0,1611437.0,445431
Bulgaria,1286538,38027,1243107.0,5404.0,187964,5556,10806067.0,1578773.0,6844597
Burkina Faso,21631,387,21143.0,101.0,979,18,248995.0,11265.0,22102838
Burundi,50639,38,50418.0,183.0,4011,3,345742.0,27386.0,12624840
CAR,15311,113,14615.0,583.0,3052,23,81294.0,16205.0,5016678
Cabo Verde,62948,412,62351.0,185.0,110887,726,401622.0,707482.0,567678
Cambodia,138063,3056,134971.0,36.0,8042,178,3091420.0,180062.0,17168639
Cameroon,123993,1965,118616.0,3412.0,4442,70,1751774.0,62762.0,27911548
